timestamp,gas,brake,speedKmh,rpms,gear
2024-02-17 17:56:03.522960,0.0,0.0,14.252184867858887,1480,2
2024-02-17 17:56:03.727336,0.0,0.0,14.252184867858887,1480,2
2024-02-17 17:56:03.930058,0.0,0.0,14.252184867858887,1480,2
2024-02-17 17:56:04.131889,0.0,0.0,14.252184867858887,1480,2
2024-02-17 17:56:04.334225,0.0,0.0,14.252184867858887,1480,2
2024-02-17 17:56:04.536313,0.0,0.0,14.450798034667969,1475,2
2024-02-17 17:56:04.738870,0.0,0.0,14.843795776367188,1467,2
2024-02-17 17:56:04.941045,0.0,0.0,15.235928535461426,1461,2
2024-02-17 17:56:05.143606,0.0,0.0,15.62424373626709,1456,2
2024-02-17 17:56:05.346181,0.0,0.0,16.01375961303711,1452,2
2024-02-17 17:56:05.549210,0.12000001221895218,0.0,16.421749114990234,1474,2
2024-02-17 17:56:05.751594,0.9240007400512695,0.0,18.44194221496582,1967,2
2024-02-17 17:56:05.953629,0.0,0.0,21.006189346313477,1624,2
2024-02-17 17:56:06.155179,0.0,0.0,21.276592254638672,1649,2
2024-02-17 17:56:06.357398,0.07200000435113907,0.0,21.501901626586914,1673,2
2024-02-17 17:56:06.559287,0.8880006670951843,0.0,23.393693923950195,2008,2
2024-02-17 17:56:06.761643,1.0,0.0,27.86785888671875,2458,2
2024-02-17 17:56:06.963882,1.0,0.0,32.774314880371094,2661,2
2024-02-17 17:56:07.166307,1.0,0.0,37.92263412475586,3080,2
2024-02-17 17:56:07.369263,1.0,0.0,43.43130874633789,3536,2
2024-02-17 17:56:07.570912,1.0,0.0,49.13582992553711,4039,2
2024-02-17 17:56:07.772868,1.0,0.0,55.03372573852539,4494,2
2024-02-17 17:56:07.975368,1.0,0.0,61.021690368652344,4946,2
2024-02-17 17:56:08.177850,1.0,0.0,66.91852569580078,5544,2
2024-02-17 17:56:08.379875,0.0,0.0,69.83161163330078,5399,2
2024-02-17 17:56:08.582242,0.2879999577999115,0.0,69.25312042236328,5392,2
2024-02-17 17:56:08.783962,1.0,0.0,72.70361328125,5991,2
2024-02-17 17:56:08.986097,1.0,0.0,79.22921752929688,6561,2
2024-02-17 17:56:09.188246,0.0,0.0,79.13175964355469,6123,2
2024-02-17 17:56:09.390432,0.0,0.0,78.21096801757812,6041,2
2024-02-17 17:56:09.593606,0.0,0.0,76.942626953125,5940,2
2024-02-17 17:56:09.795746,0.0,0.0,75.37660217285156,5805,2
2024-02-17 17:56:09.998008,0.0,0.0,74.23887634277344,5743,2
2024-02-17 17:56:10.199880,0.0,0.0,73.26140594482422,5678,2
2024-02-17 17:56:10.403109,0.0,0.0,72.0035400390625,5566,2
2024-02-17 17:56:10.605578,0.0,0.0,70.31019592285156,5416,2
2024-02-17 17:56:10.808934,0.0,0.0,68.06568908691406,5248,2
2024-02-17 17:56:11.010597,0.0,0.0,65.75935363769531,5070,2
2024-02-17 17:56:11.212613,0.0,0.0,63.688297271728516,4905,2
2024-02-17 17:56:11.414857,0.0,0.0,61.73051452636719,4761,2
2024-02-17 17:56:11.617845,0.0,0.0,59.738136291503906,4622,2
2024-02-17 17:56:11.820125,0.1679999977350235,0.0,57.84627914428711,4497,2
2024-02-17 17:56:12.022167,0.9120007157325745,0.0,58.61442184448242,4905,2
2024-02-17 17:56:12.224890,0.0,0.0,58.48415756225586,4535,2
2024-02-17 17:56:12.427016,0.0,0.0,57.518123626708984,4463,2
2024-02-17 17:56:12.628711,0.0,0.0,56.37139892578125,4364,2
2024-02-17 17:56:12.831227,0.0,0.0,54.90182876586914,4249,2
2024-02-17 17:56:13.033168,0.45599988102912903,0.0,53.559200286865234,4266,2
2024-02-17 17:56:13.235656,1.0,0.0,55.994449615478516,4681,2
2024-02-17 17:56:13.437391,0.9759999513626099,0.0,60.454994201660156,5328,2
2024-02-17 17:56:13.639609,0.0,0.0,63.00408935546875,5454,2
2024-02-17 17:56:13.841240,0.0,0.0,62.78207015991211,4846,2
2024-02-17 17:56:14.043400,0.5880000591278076,0.0,62.59417724609375,5029,2
2024-02-17 17:56:14.245923,1.0,0.0,67.6826171875,5575,2
2024-02-17 17:56:14.448083,1.0,0.0,73.7668228149414,6096,2
2024-02-17 17:56:14.650408,0.0,0.0,75.27149200439453,5821,2
2024-02-17 17:56:14.852891,0.0,0.0,73.90333557128906,5695,2
2024-02-17 17:56:15.055173,0.0,0.0,72.20923614501953,5538,2
2024-02-17 17:56:15.257653,0.648000180721283,0.0,71.26456451416016,5877,2
2024-02-17 17:56:15.459857,0.6499999761581421,0.0,73.9930191040039,6197,2
2024-02-17 17:56:15.662752,0.818000316619873,0.0,77.87708282470703,6578,2
2024-02-17 17:56:15.865759,0.9879999756813049,0.0,82.79291534423828,7087,2
2024-02-17 17:56:16.068051,0.8799997568130493,0.0,88.00445556640625,7524,2
2024-02-17 17:56:16.270280,1.0,0.0,92.25336456298828,7144,1
2024-02-17 17:56:16.473349,1.0,0.0,96.06417083740234,5847,3
2024-02-17 17:56:16.675898,1.0,0.0,100.97457122802734,6148,3
2024-02-17 17:56:16.878880,1.0,0.0,105.96028900146484,6472,3
2024-02-17 17:56:17.081628,1.0,0.0,110.98912811279297,6771,3
2024-02-17 17:56:17.283914,1.0,0.0,115.92684173583984,7119,3
2024-02-17 17:56:17.486905,1.0,0.0,120.7057113647461,7458,3
2024-02-17 17:56:17.688873,1.0,0.0,125.52141571044922,7835,3
2024-02-17 17:56:17.890316,1.0,0.0,128.00059509277344,6322,4
2024-02-17 17:56:18.092907,1.0,0.0,131.0806884765625,6212,4
2024-02-17 17:56:18.295013,1.0,0.0,133.91763305664062,6422,4
2024-02-17 17:56:18.496894,1.0,0.0,136.4185028076172,6674,4
2024-02-17 17:56:18.699570,1.0,0.0,139.02743530273438,6805,4
2024-02-17 17:56:18.902255,1.0,0.0,140.1070098876953,6408,1
2024-02-17 17:56:19.104730,1.0,0.0,140.1689910888672,5198,5
2024-02-17 17:56:19.307432,1.0,0.0,140.78216552734375,5237,5
2024-02-17 17:56:19.509430,1.0,0.0,141.35372924804688,5300,5
2024-02-17 17:56:19.712240,1.0,0.0,141.60284423828125,5302,5
2024-02-17 17:56:19.914765,1.0,0.0,141.4772186279297,5322,5
2024-02-17 17:56:20.116839,0.0,0.0,141.12367248535156,5217,5
2024-02-17 17:56:20.318307,0.0,0.0,138.2507781982422,4686,5
2024-02-17 17:56:20.520058,0.0,0.0,134.82232666015625,4547,5
2024-02-17 17:56:20.722174,0.0,0.0,131.168212890625,4398,5
2024-02-17 17:56:20.923835,0.0,0.0,127.69164276123047,4274,5
