timestamp,rpms,gear,gas
2024-04-15 19:24:32.235627,0,0,0.0
2024-04-15 19:24:32.446111,0,0,0.0
2024-04-15 19:24:32.650548,0,0,0.0
2024-04-15 19:24:32.865089,0,0,0.0
2024-04-15 19:24:33.077963,0,0,0.0
2024-04-15 19:24:33.282162,0,0,0.0
2024-04-15 19:24:33.490557,0,0,0.0
2024-04-15 19:24:33.700960,0,0,0.0
2024-04-15 19:24:33.905048,0,0,0.0
2024-04-15 19:24:34.107916,0,0,0.0
2024-04-15 19:24:34.307934,0,0,0.0
2024-04-15 19:24:34.511360,0,0,0.0
2024-04-15 19:24:34.713876,0,0,0.0
2024-04-15 19:24:34.915722,0,0,0.0
2024-04-15 19:24:35.118995,0,0,0.0
2024-04-15 19:24:35.331574,0,0,0.0
2024-04-15 19:24:35.545295,0,0,0.0
2024-04-15 19:24:35.752115,0,0,0.0
2024-04-15 19:24:35.959755,0,0,0.0
2024-04-15 19:24:36.162928,0,0,0.0
2024-04-15 19:24:36.371118,0,0,0.0
2024-04-15 19:24:36.572085,0,0,0.0
2024-04-15 19:24:36.790327,0,0,0.0
2024-04-15 19:24:37.003878,0,0,0.0
2024-04-15 19:24:37.210337,0,0,0.0
2024-04-15 19:24:37.413083,0,0,0.0
2024-04-15 19:24:37.622054,0,0,0.0
2024-04-15 19:24:37.825610,0,0,0.0
2024-04-15 19:24:38.045578,0,0,0.0
2024-04-15 19:24:38.254071,0,0,0.0
2024-04-15 19:24:38.465437,0,0,0.0
2024-04-15 19:24:38.675427,0,0,0.0
2024-04-15 19:24:38.885016,0,0,0.0
2024-04-15 19:24:39.091587,0,0,0.0
2024-04-15 19:24:39.309292,0,0,0.0
2024-04-15 19:24:39.510863,0,0,0.0
2024-04-15 19:24:39.715949,0,0,0.0
2024-04-15 19:24:39.920993,0,0,0.0
2024-04-15 19:24:40.128723,0,0,0.0
2024-04-15 19:24:40.332422,0,0,0.0
2024-04-15 19:24:40.540982,0,0,0.0
2024-04-15 19:24:40.750480,0,0,0.0
2024-04-15 19:24:40.957879,0,0,0.0
2024-04-15 19:24:41.160793,0,0,0.0
2024-04-15 19:24:41.379978,0,0,0.0
2024-04-15 19:24:41.583477,0,0,0.0
2024-04-15 19:24:41.786205,0,0,0.0
2024-04-15 19:24:41.996432,0,0,0.0
2024-04-15 19:24:42.206341,0,0,0.0
