# Name: Alvaro Carreiro
# Car: Abarth 500
# Map: m608 - 2024 - alt 2
timestamp,currentTime,lastTime,bestTime,completedLaps,position,iCurrentTime,iLastTime,iBestTime,distanceTraveled,split,packetId,status,session,sessionTimeLeft,isInPit,numberOfLaps,lastSectorTime,currentSectorIndex,carCoordinates,windSpeed,windDirection,gas,brake,fuel,gear,rpms,speedKmh,airTemp,roadTemp,clutch,velocity,accG,steerAngle,heading,pitch,roll,cgHeight,brakeTemp,carModel,track
2024-06-19 18:41:25.997285,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.4824377298355103, ,2705,2,0,-11968.1962890625,0,0,0,0,"[2.4332473278045654, 0.6620394587516785, -2.57393479347229]",0.0,0.0,0.2960500121116638,0.0,29.999618530273438,2,592,5.1157965660095215,20.0,28.0,0.6206499934196472,"[1.2435427904129028, -0.014647403731942177, -0.691448450088501]","[-0.003862297162413597, -0.00023403149680234492, 0.08395939320325851]",0.056538406759500504,-2.096372365951538,-0.01798880100250244,-0.015319807454943657,0.5271598100662231,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.097973,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.6301372051239014, ,2739,2,0,-12069.193359375,0,0,0,0,"[2.563345193862915, 0.6605088710784912, -2.646129846572876]",0.0,0.0,0.2960500121116638,0.0,29.999576568603516,2,623,5.3808417320251465,20.0,28.0,0.6480500102043152,"[1.309136986732483, -0.015338743105530739, -0.7249196767807007]","[-0.004288617987185717, -0.00029827895923517644, 0.08572503179311752]",0.05642946809530258,-2.0946366786956787,-0.018004925921559334,-0.015285337343811989,0.5271216630935669,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.198662,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.7853631973266602, ,2772,2,0,-12170.98046875,0,0,0,0,"[2.7001559734344482, 0.6589104533195496, -2.7217507362365723]",0.0,0.0,0.2960500121116638,0.0,29.999534606933594,2,666,5.637721538543701,20.0,28.0,0.6705999970436096,"[1.373272180557251, -0.015995783731341362, -0.7578050494194031]","[-0.00282142567448318, 0.0018629056867212057, 0.0611257366836071]",0.05512222647666931,-2.092888355255127,-0.01802115887403488,-0.015278016217052937,0.5270959138870239,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.299349,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.9432275295257568, ,2806,2,0,-12272.6103515625,0,0,0,0,"[2.8436546325683594, 0.6572465896606445, -2.8008453845977783]",0.0,0.0,0.2960500121116638,0.0,29.999486923217773,2,698,5.903730392456055,20.0,28.0,0.6951500177383423,"[1.4386610984802246, -0.016661474481225014, -0.792305588722229]","[-0.0020437324419617653, 0.001843693433329463, 0.06045805290341377]",0.05185410752892494,-2.091094732284546,-0.018039599061012268,-0.01532888226211071,0.5270828008651733,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.400037,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.082745313644409, ,2839,2,0,-12358.072265625,0,0,0,0,"[2.9668397903442383, 0.6558224558830261, -2.868635416030884]",0.0,0.0,0.2950500249862671,0.0,29.999439239501953,2,713,6.164690971374512,20.0,28.0,0.7088500261306763,"[1.5020201206207275, -0.017356041818857193, -0.8259208798408508]","[-0.002800100017338991, -0.0005891438922844827, 0.08767207711935043]",0.04913067817687988,-2.0893912315368652,-0.018054090440273285,-0.015361330471932888,0.527076244354248,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.500725,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.2590742111206055, ,2873,2,0,-12459.2509765625,0,0,0,0,"[3.1225411891937256, 0.6540204882621765, -2.9541704654693604]",0.0,0.0,0.29704999923706055,0.0,29.9993896484375,2,743,6.4322638511657715,20.0,28.0,0.736299991607666,"[1.5680973529815674, -0.018146701157093048, -0.8599234819412231]","[-0.0037187403067946434, -0.0006442678277380764, 0.08849135041236877]",0.04793236777186394,-2.0876479148864746,-0.018069615587592125,-0.015305737964808941,0.5270689725875854,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.600917,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.437436103820801, ,2906,2,0,-12560.5849609375,0,0,0,0,"[3.2849557399749756, 0.6521381735801697, -3.0431408882141113]",0.0,0.0,0.29704999923706055,0.0,29.999338150024414,2,796,6.6861395835876465,20.0,28.0,0.8069000244140625,"[1.631593108177185, -0.01896403357386589, -0.8927198648452759]","[-0.0010837467852979898, 0.002082368591800332, 0.05598464235663414]",0.04401062801480293,-2.0859451293945312,-0.018106522038578987,-0.015259246341884136,0.5270611047744751,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.701604,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.628542423248291, ,2940,2,0,-12662.6435546875,0,0,0,0,"[3.4539284706115723, 0.6501747965812683, -3.135655403137207]",0.0,0.0,0.31075000762939453,0.0,29.99928092956543,2,836,6.948822498321533,20.0,28.0,0.9048999547958374,"[1.694629192352295, -0.01970970816910267, -0.9298585653305054]","[0.0037981236819177866, 0.0026267641223967075, 0.051914505660533905]",0.0331169068813324,-2.0844268798828125,-0.018149571493268013,-0.015474967658519745,0.5270489454269409,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.802292,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.8278355598449707, ,2973,2,0,-12763.876953125,0,0,0,0,"[3.6255648136138916, 0.6481310725212097, -3.2300002574920654]",0.0,0.0,0.32739999890327454,0.0,29.999221801757812,2,804,7.494903564453125,20.0,28.0,1.0,"[1.8252288103103638, -0.021457236260175705, -1.006095051765442]","[0.005042769480496645, 0.009157993830740452, 0.11003098636865616]",0.02451086975634098,-2.0832269191741943,-0.017309540882706642,-0.015663834288716316,0.5269779562950134,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:26.902980,-:--:---,-:--:---,-:--:---,0,1,0,0,0,3.040217638015747, ,3007,2,0,-12865.4892578125,0,0,0,0,"[3.812199831008911, 0.6462197303771973, -3.3330187797546387]",0.0,0.0,0.33329999446868896,0.0,29.99915885925293,2,857,7.733535289764404,20.0,28.0,1.0,"[1.8836314678192139, -0.01834133267402649, -1.0392955541610718]","[-0.0017282292246818542, -0.0058021871373057365, 0.12174582481384277]",0.02309468574821949,-2.0822155475616455,-0.017101051285862923,-0.015513277612626553,0.5272744297981262,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
2024-06-19 18:41:27.003668,-:--:---,-:--:---,-:--:---,0,1,0,0,0,3.2603466510772705, ,3041,2,0,-12967.2216796875,0,0,0,0,"[4.006289958953857, 0.6440448760986328, -3.4400527477264404]",0.0,0.0,0.34014999866485596,0.0,29.99909019470215,2,901,8.0010404586792,20.0,28.0,1.0,"[1.9501298666000366, -0.02396918274462223, -1.0724313259124756]","[-0.006768225692212582, -0.0009216005564667284, 0.11242120712995529]",0.024401932954788208,-2.0811331272125244,-0.017454832792282104,-0.0151542779058218,0.5272791981697083,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 2
