# Name: Alvaro Carreiro
# Car: Abarth 500
# Map: M-608
# Length: 4909
timestamp,currentTime,lastTime,bestTime,completedLaps,position,iCurrentTime,iLastTime,iBestTime,distanceTraveled,split,packetId,status,session,sessionTimeLeft,isInPit,numberOfLaps,lastSectorTime,currentSectorIndex,carCoordinates,windSpeed,windDirection,gas,brake,fuel,gear,rpms,speedKmh,airTemp,roadTemp,clutch,velocity,accG,steerAngle,heading,pitch,roll,cgHeight,brakeTemp,carModel,track,normalizedCarPosition
2024-06-19 18:50:52.429697,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.385639786720276, ,2817,2,0,-12301.76953125,0,0,0,0,"[2.347743511199951, 0.6632059216499329, -2.549473762512207]",0.0,0.0,0.4146499931812286,0.0,29.999534606933597,2,659,5.573481559753418,20.0,28.0,0.6441500186920166,"[1.3450533151626587, -0.01514884177595377, -0.7726156711578369]","[-0.003568907268345356, 0.001154630328528583, 0.0849175676703453]",0.0417229495942592,-2.106161594390869,-0.017109515145421,-0.0153269823640584,0.5272080898284912,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.00033646037953865307
2024-06-19 18:50:52.530386,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.5462933778762815, ,2850,2,0,-12403.54296875,0,0,0,0,"[2.48877215385437, 0.6615949869155884, -2.6303610801696777]",0.0,0.0,0.4156500101089477,0.0,29.99947929382324,2,687,5.903926372528076,20.0,28.0,0.6784499883651733,"[1.4251559972763062, -0.016518153250217438, -0.8162501454353333]","[-0.0032009424176067114, -0.0006874337559565902, 0.10564649105072021]",0.0415050759911537,-2.1048409938812256,-0.0170771107077598,-0.0154523439705371,0.5271942615509033,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0003754702064595
2024-06-19 18:50:52.631073,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.7165392637252808, ,2884,2,0,-12505.0,0,0,0,0,"[2.6382663249969482, 0.6598472595214844, -2.715888738632202]",0.0,0.0,0.424450010061264,0.0,29.999414443969727,2,727,6.246798515319824,20.0,28.0,0.7049499750137329,"[1.5086792707443237, -0.017671363428235054, -0.8621457815170288]","[-0.0034256705548614264, -0.00027641112683340907, 0.10869156569242477]",0.0412872023880481,-2.1033825874328613,-0.0171005222946405,-0.0154876364395022,0.5271425247192383,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0004168092297154856
2024-06-19 18:50:52.731761,-:--:---,-:--:---,-:--:---,0,1,0,0,0,1.8965814113616943, ,2918,2,0,-12607.068359375,0,0,0,0,"[2.7963857650756836, 0.6580043435096741, -2.8061275482177734]",0.0,0.0,0.4293500185012817,0.0,29.999347686767575,2,769,6.595821857452393,20.0,28.0,0.7422000169754028,"[1.593935489654541, -0.018396351486444473, -0.9082890748977661]","[-0.0040701101534068584, -4.833704588236287e-05, 0.11036378145217896]",0.0408514477312564,-2.101868867874145,-0.0171002931892871,-0.0154274655506014,0.5270974040031433,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.00046052697649734154
2024-06-19 18:50:52.831953,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.0865366458892822, ,2951,2,0,-12708.55078125,0,0,0,0,"[2.958209753036499, 0.6561488509178162, -2.898191452026367]",0.0,0.0,0.4323000013828277,0.0,29.999277114868164,2,831,6.933689117431641,20.0,28.0,0.8156999945640564,"[1.677582025527954, -0.01914568617939949, -0.9526981115341187]","[-0.004034697078168392, 0.002286083297803998, 0.07982806116342545]",0.0405246391892433,-2.100339412689209,-0.0170921068638563,-0.0153595898300409,0.5270841121673584,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0005066518142199815
2024-06-19 18:50:52.932640,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.2863473892211914, ,2985,2,0,-12810.4765625,0,0,0,0,"[3.133542776107788, 0.6541495323181152, -2.9975805282592773]",0.0,0.0,0.4352499842643738,0.0,29.99920082092285,2,878,7.28448486328125,20.0,28.0,0.867650032043457,"[1.7640609741210938, -0.02021797001361847, -0.998031735420227]","[-0.0041683572344481945, 0.002084276871755719, 0.08157213777303696]",0.0401978269219398,-2.0987088680267334,-0.0171055141836404,-0.0153220547363162,0.5270828008651733,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0005551697618003407
2024-06-19 18:50:53.033328,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.46472692489624, ,3018,2,0,-12893.86328125,0,0,0,0,"[3.284637928009033, 0.6524172425270081, -3.0829577445983887]",0.0,0.0,0.4372000098228454,0.0,29.999120712280277,2,892,7.633158206939697,20.0,28.0,0.9107999801635742,"[1.848600149154663, -0.021122850477695465, -1.0430266857147217]","[-0.0037871396634727716, -0.0007826913497410715, 0.11771210283041]",0.0381280221045017,-2.0970945358276367,-0.0170814134180545,-0.0153475310653448,0.5270742177963257,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0005984837939538296
2024-06-19 18:50:53.134016,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.6832282543182373, ,3052,2,0,-12995.763671875,0,0,0,0,"[3.4764811992645264, 0.6502072215080261, -3.191115140914917]",0.0,0.0,0.4450500011444092,0.0,29.999032974243164,2,915,8.196540832519531,20.0,28.0,1.0,"[1.9906924962997437, -0.024316677823662758, -1.1207014322280884]","[-0.00484462920576334, 0.002572497818619013, 0.2785011827945709]",0.0351867154240608,-2.095412254333496,-0.0166773032397031,-0.0153757566586136,0.5270271897315979,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0006515401805642602
2024-06-19 18:50:53.234704,-:--:---,-:--:---,-:--:---,0,1,0,0,0,2.9178507328033447, ,3085,2,0,-13097.6884765625,0,0,0,0,"[3.6818959712982178, 0.6479505300521851, -3.306739568710327]",0.0,0.0,0.4460499882698059,0.0,29.998947143554688,2,976,8.510868072509766,20.0,28.0,1.0,"[2.066009759902954, -0.019427817314863205, -1.1601892709732056]","[-0.008783234283328056, 0.003028965089470148, 0.18230152130126953]",0.0348599031567573,-2.093703031539917,-0.016099153086543,-0.0153373181819915,0.5272111296653748,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0007085110967547136
2024-06-19 18:50:53.334896,-:--:---,-:--:---,-:--:---,0,1,0,0,0,3.162158966064453, ,3119,2,0,-13199.802734375,0,0,0,0,"[3.896589517593384, 0.6456702351570129, -3.427149772644043]",0.0,0.0,0.4431000053882599,0.0,29.99885368347168,2,1018,8.887726783752441,20.0,28.0,1.0,"[2.157769203186035, -0.026284439489245415, -1.206918716430664]","[-0.008455776609480381, 0.00013688611215911806, 0.12142525613307953]",0.0350777767598629,-2.0919301509857178,-0.0164130255579948,-0.0151718584820628,0.5273047685623169,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 1,0.0007678339032122365
