# Name: Alvaro Carreiro
# Car: Abarth 500
# Map: M-608
timestamp,currentTime,lastTime,bestTime,completedLaps,position,iCurrentTime,iLastTime,iBestTime,distanceTraveled,split,packetId,status,session,sessionTimeLeft,isInPit,numberOfLaps,lastSectorTime,currentSectorIndex,carCoordinates,windSpeed,windDirection,gas,brake,fuel,gear,rpms,speedKmh,airTemp,roadTemp,clutch,velocity,accG,steerAngle,heading,pitch,roll,cgHeight,brakeTemp,carModel,track,normalizedCarPosition
2024-06-19 18:56:40.138041,1:37:671,-:--:---,-:--:---,0,1,97671,0,0,2037.3172607421875, ,36926,2,0,-114636.765625,0,0,0,0,"[1724.7105712890625, -9.833222389221191, -967.0684814453125]",0.0,0.0,0.6288999915122986,0.0,29.748191833496094,5,3013,89.53878784179688,20.0,28.0,1.0,"[24.839157104492188, -0.0035313735716044903, -1.3363819122314453]","[-0.0018571667606011033, 0.0012722346000373363, 0.10858941078186035]",-0.0002178744034608,-1.6254552602767944,-0.0061440719291567,-0.0210197567939758,0.5323362350463867,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.4991589814056531
2024-06-19 18:56:40.238729,1:37:767,-:--:---,-:--:---,0,1,97767,0,0,2039.7081298828125, ,36959,2,0,-114733.234375,0,0,0,0,"[1727.099609375, -9.833536148071289, -967.1968994140625]",0.0,0.0,0.6836000084877014,0.0,29.74748420715332,5,3028,89.92292022705078,20.0,28.0,1.0,"[24.945938110351562, -0.0030365376733243465, -1.3404793739318848]","[-0.0016559791984036565, 0.0009048922802321613, 0.11321314424276352]",-0.0003268115979153,-1.625391960144043,-0.0060195322148501,-0.0210371930152177,0.5323610305786133,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.4997447634180599
2024-06-19 18:56:40.338921,1:37:860,-:--:---,-:--:---,0,1,97860,0,0,2042.033935546875, ,36993,2,0,-114825.546875,0,0,0,0,"[1729.4237060546875, -9.833817481994629, -967.32177734375]",0.0,0.0,0.7490000128746033,0.0,29.74671745300293,5,3044,90.3450164794922,20.0,28.0,1.0,"[25.06327247619629, -0.003047903534024954, -1.3461496829986572]","[-0.00028355885297060013, 0.0006142357597127557, 0.12069222331047058]",-0.0005446859868243,-1.625349998474121,-0.0057976227253675,-0.0210823453962802,0.5324115753173828,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.5003146043596706
2024-06-19 18:56:40.439113,1:37:971,-:--:---,-:--:---,0,1,97971,0,0,2044.74755859375, ,37026,2,0,-114937.1171875,0,0,0,0,"[1732.2109375, -9.834162712097168, -967.4714965820312]",0.0,0.0,0.8173999786376953,0.0,29.745929718017575,5,3062,90.78386688232422,20.0,28.0,1.0,"[25.185283660888672, -0.003222539322450757, -1.3527235984802246]","[0.0001738822611514479, 0.0005038228700868785, 0.13045798242092133]",-0.0005446859868243,-1.6253618001937866,-0.0055093872360885,-0.0211447868496179,0.5324535369873047,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.5009794636538502
2024-06-19 18:56:40.539801,1:38:064,-:--:---,-:--:---,0,1,98064,0,0,2047.0958251953125, ,37060,2,0,-115030.8125,0,0,0,0,"[1734.5582275390625, -9.834467887878418, -967.5975952148438]",0.0,0.0,0.819350004196167,0.0,29.745092391967773,5,3078,91.2570571899414,20.0,28.0,1.0,"[25.316509246826172, -0.003339198185130954, -1.3608386516571045]","[0.0017845174297690392, 0.0005426187999546528, 0.13164971768856049]",-0.0009804348228499,-1.6254054307937622,-0.005200061481446,-0.0211858842521905,0.5324811935424805,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.5015548077043285
2024-06-19 18:56:40.640488,1:38:172,-:--:---,-:--:---,0,1,98172,0,0,2049.98974609375, ,37093,2,0,-115139.1015625,0,0,0,0,"[1737.298095703125, -9.834839820861816, -967.7449951171875]",0.0,0.0,0.8300999999046326,0.0,29.7442684173584,5,3095,91.72093963623048,20.0,28.0,1.0,"[25.445043563842773, -0.003642007475718856, -1.3715722560882568]","[0.005227779038250446, 0.00014576195098925382, 0.13404937088489532]",-0.0016340580768883,-1.6255428791046145,-0.0050368290394544,-0.0213265903294086,0.5324869155883789,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.5022638414104516
2024-06-19 18:56:40.741176,1:38:268,-:--:---,-:--:---,0,1,98268,0,0,2052.363525390625, ,37127,2,0,-115233.453125,0,0,0,0,"[1739.746337890625, -9.835196495056152, -967.8772583007812]",0.0,0.0,0.8339999914169312,0.0,29.743406295776367,5,3111,92.20475006103516,20.0,28.0,1.0,"[25.578855514526367, -0.0036908171605318785, -1.3862091302871704]","[0.008493814617395401, 0.0007114975596778095, 0.1345541775226593]",-0.0018519323784857,-1.625868558883667,-0.0049717254005372,-0.0215607602149248,0.5324592590332031,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.5028454362748068
2024-06-19 18:56:40.841368,1:38:373,-:--:---,-:--:---,0,1,98373,0,0,2055.134033203125, ,37160,2,0,-115339.484375,0,0,0,0,"[1742.4378662109375, -9.835572242736816, -968.0234985351562]",0.0,0.0,0.8398499488830566,0.0,29.74256134033203,5,3127,92.6758041381836,20.0,28.0,1.0,"[25.70903205871582, -0.0034125756938010454, -1.4025588035583496]","[0.009833073243498802, 0.0007941501098684967, 0.13541428744792938]",-0.0016340580768883,-1.626318097114563,-0.0049552717246115,-0.0217047464102506,0.532435417175293,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.503524232790358
2024-06-19 18:56:40.942056,1:38:469,-:--:---,-:--:---,0,1,98469,0,0,2057.5322265625, ,37194,2,0,-115433.9375,0,0,0,0,"[1744.9114990234375, -9.835884094238281, -968.1588745117188]",0.0,0.0,0.8457000255584717,0.0,29.741680145263672,5,3144,93.16521453857422,20.0,28.0,1.0,"[25.844215393066406, -0.0030174937564879656, -1.4208521842956543]","[0.011649180203676224, 0.0008634143741801381, 0.13649789988994598]",-0.001742995227687,-1.6268010139465332,-0.0049359509721398,-0.021748574450612,0.5324268341064453,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.5041118092947867
2024-06-19 18:56:41.042744,1:38:580,-:--:---,-:--:---,0,1,98580,0,0,2060.331298828125, ,37227,2,0,-115545.4765625,0,0,0,0,"[1747.786865234375, -9.836198806762695, -968.3175659179688]",0.0,0.0,0.8525500297546387,0.0,29.740812301635746,5,3161,93.64458465576172,20.0,28.0,1.0,"[25.9765625, -0.0026198923587799072, -1.439833641052246]","[0.012155529111623764, 0.0007632065680809319, 0.1377052217721939]",-0.001742995227687,-1.6272776126861572,-0.0048923511058092,-0.0218117032200098,0.5324382781982422,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0,0.5047976043292239
