# Name: yara piñeito
# Car: asdfadsfa
# Map: dfasdfdsaf
timestamp,speedKmh,rpms,gear,fuel,brake,gas,tyreWear,suspensionTravel,steerAngle,pitch,roll
2024-05-30 18:52:51.323882,32.87113571166992,2753,2,29.978435516357422,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x00000260815742D0>,0.007077939808368683,-0.00011598345736274496,0.0016956822946667671
2024-05-30 18:52:51.724748,42.03091812133789,3397,2,29.972681045532227,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x0000026081576150>,0.2881524860858917,-0.00014838356582913548,0.004139150492846966
2024-05-30 18:52:52.125621,50.78334426879883,4194,2,29.966222763061523,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x0000026081574A50>,-0.14033633470535278,-0.003894484369084239,-0.010209173895418644
2024-05-30 18:52:52.526499,60.27260971069336,4975,2,29.95811653137207,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x0000026081574CD0>,0.0,0.0009941557655110955,-0.012544253841042519
2024-05-30 18:52:52.927369,69.18311309814453,5764,2,29.949289321899414,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x0000026081577ED0>,0.0,-0.0007238325197249651,-0.018049903213977814
2024-05-30 18:52:53.328248,76.96675109863281,6147,1,29.940784454345703,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x0000026081577950>,0.0,-0.0001954757171915844,-0.0030963134486228228
2024-05-30 18:52:53.729137,84.17291259765625,5180,3,29.933029174804688,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x00000260815769D0>,-0.01650307886302471,0.001277143252082169,-0.0018284993711858988
2024-05-30 18:52:54.129990,92.22109985351562,5807,3,29.922645568847656,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x00000260815744D0>,-0.02914433926343918,0.0012165395310148597,-0.0014812488807365298
2024-05-30 18:52:54.530868,100.48652648925781,6200,3,29.911632537841797,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x00000260815769D0>,0.0,0.003362020943313837,-0.0057519846595823765
2024-05-30 18:52:54.931739,109.03313446044922,7059,3,29.899194717407227,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x00000260815747D0>,0.002190645784139633,-0.004634279292076826,0.002034072997048497
2024-05-30 18:52:55.332130,115.2337646484375,5476,4,29.890869140625,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x0000026081576AD0>,0.0,-0.00478124525398016,0.0010732132941484451
2024-05-30 18:52:55.732517,121.87206268310547,5743,4,29.88005828857422,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x0000026081576750>,<commons.utils.c_float_Array_4 object at 0x0000026081575B50>,-0.016364438459277153,0.0022042214404791594,0.0013945361133664846
2024-05-30 18:52:56.132892,128.48573303222656,6142,4,29.868690490722656,0.0,1.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x0000026081575450>,0.0,-0.0007069551502354443,0.0022059325128793716
2024-05-30 18:52:56.533311,133.2158966064453,6089,4,29.859920501708984,0.0,0.0,<commons.utils.c_float_Array_4 object at 0x0000026081575B50>,<commons.utils.c_float_Array_4 object at 0x0000026081577850>,0.0,-0.002072287490591407,0.0011910208268091083
2024-05-30 18:52:56.933679,120.24549865722656,5383,4,29.859920501708984,0.6649718284606934,0.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x00000260815747D0>,0.0,-0.006316240876913071,-0.0008830155129544437
2024-05-30 18:52:57.334565,105.76787567138672,4775,4,29.859920501708984,0.5473558306694031,0.0,<commons.utils.c_float_Array_4 object at 0x0000026081577850>,<commons.utils.c_float_Array_4 object at 0x0000026081575B50>,0.009797308593988419,-0.005144825670868158,-0.002854693215340376
2024-05-30 18:52:57.734956,91.52633666992188,5301,3,29.858779907226562,0.526638388633728,0.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x00000260815765D0>,0.0,-0.0059537626802921295,0.0020144684240221977
2024-05-30 18:52:58.135816,77.69329071044922,4458,3,29.858779907226562,0.5486413836479187,0.0,<commons.utils.c_float_Array_4 object at 0x0000026081575B50>,<commons.utils.c_float_Array_4 object at 0x0000026081575450>,0.29838696122169495,-0.0069621107541024685,0.0031626278068870306
2024-05-30 18:52:58.536686,66.44538879394531,5038,2,29.857654571533203,0.48272499442100525,0.0,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,<commons.utils.c_float_Array_4 object at 0x00000260815762D0>,0.6897079348564148,-0.0030562118627130985,-0.0017082473495975137
2024-05-30 18:52:58.937558,55.72399139404297,4234,2,29.857654571533203,0.47198358178138733,0.0,<commons.utils.c_float_Array_4 object at 0x0000026081574650>,<commons.utils.c_float_Array_4 object at 0x0000026081575450>,0.8999999761581421,-0.0018357193330302835,-0.010764902457594872
