# Name: Alvaro Carreiro
# Car: Abarth 500
# Map: M-608
timestamp,currentTime,lastTime,bestTime,completedLaps,position,iCurrentTime,iLastTime,iBestTime,distanceTraveled,split,packetId,status,session,sessionTimeLeft,isInPit,numberOfLaps,lastSectorTime,currentSectorIndex,carCoordinates,windSpeed,windDirection,gas,brake,fuel,gear,rpms,speedKmh,airTemp,roadTemp,clutch,velocity,accG,steerAngle,heading,pitch,roll,cgHeight,brakeTemp,carModel,track
2024-06-19 18:56:32.407893,1:29:943,-:--:---,-:--:---,0,1,89943,0,0,1867.436279296875, ,34349,2,0,-106908.1015625,0,0,0,0,"[1556.2333984375, -10.132535934448242, -947.24853515625]",0.0,0.0,0.38429999351501465,0.0,29.78299903869629,4,3300,74.6887435913086,20.0,28.0,1.0,"[20.2283992767334, -0.00021517927234526724, -4.621906757354736]","[-0.01593216322362423, 0.0007787992362864316, 0.09612249583005905]",0.002505555748939514,-1.796411395072937,-0.006263859570026398,-0.020320186391472816,0.5319576263427734,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:32.508086,1:30:036,-:--:---,-:--:---,0,1,90036,0,0,1869.43115234375, ,34382,2,0,-107002.96875,0,0,0,0,"[1558.11865234375, -10.131707191467285, -947.6785278320312]",0.0,0.0,0.3871999979019165,0.0,29.78245735168457,4,3316,75.0145263671875,20.0,28.0,1.0,"[20.320392608642578, 0.022988654673099518, -4.625039577484131]","[-0.017158756032586098, 0.020687585696578026, 0.09250225871801376]",0.0026144927833229303,-1.7955799102783203,-0.005849428474903107,-0.020137447863817215,0.5311279296875,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:32.608277,1:30:132,-:--:---,-:--:---,0,1,90132,0,0,1871.3724365234375, ,34416,2,0,-107096.984375,0,0,0,0,"[1560.0728759765625, -10.127720832824707, -948.1226806640625]",0.0,0.0,0.38429999351501465,0.0,29.78190040588379,4,3331,75.34937286376953,20.0,28.0,1.0,"[20.414628982543945, 0.05277889966964722, -4.6308417320251465]","[-0.019588060677051544, -0.025227012112736702, 0.10081886500120163]",0.0037038647569715977,-1.794600248336792,-0.00407201936468482,-0.018999986350536346,0.5323457717895508,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:32.708965,1:30:240,-:--:---,-:--:---,0,1,90240,0,0,1873.69873046875, ,34449,2,0,-107207.0703125,0,0,0,0,"[1562.2818603515625, -10.122379302978516, -948.6229858398438]",0.0,0.0,0.33820000290870667,0.0,29.7813777923584,4,3337,75.67133331298828,20.0,28.0,1.0,"[20.504161834716797, 0.049972470849752426, -4.636547088623047]","[-0.01289860624819994, 0.003341516014188528, 0.07317040115594864]",0.003050241619348526,-1.79349946975708,-0.004595325794070959,-0.016676925122737885,0.5326852798461914,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:32.809653,1:30:339,-:--:---,-:--:---,0,1,90339,0,0,1875.71923828125, ,34483,2,0,-107304.515625,0,0,0,0,"[1564.3143310546875, -10.118053436279297, -949.0816650390625]",0.0,0.0,0.04900002479553223,0.0,29.781005859375,4,3328,75.8486099243164,20.0,28.0,0.8206000328063965,"[20.554828643798828, 0.03448018431663513, -4.628697872161865]","[-0.019041750580072403, 0.011352905072271824, 0.021226106211543083]",0.003159178886562586,-1.7923418283462524,-0.0033676321618258953,-0.013613216578960419,0.5336666107177734,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:32.910340,1:30:438,-:--:---,-:--:---,0,1,90438,0,0,1877.8026123046875, ,34516,2,0,-107403.1796875,0,0,0,0,"[1566.3480224609375, -10.114107131958008, -949.5387573242188]",0.0,0.0,0.0,0.0,29.78099822998047,4,3296,75.6832275390625,20.0,28.0,0.5706499814987183,"[20.511837005615234, 0.03827518969774246, -4.598504543304443]","[-0.026050647720694542, -0.0009345582220703363, -0.0739329531788826]",0.0032681161537766457,-1.7911959886550903,-0.007148450240492821,-0.010689950548112392,0.5330829620361328,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:33.010532,1:30:534,-:--:---,-:--:---,0,1,90534,0,0,1879.7554931640625, ,34550,2,0,-107498.546875,0,0,0,0,"[1568.315185546875, -10.111017227172852, -949.978759765625]",0.0,0.0,0.0,0.0,29.78099822998047,1,3226,75.50765991210938,20.0,28.0,0.26759999990463257,"[20.470712661743164, 0.029977403581142426, -4.564694881439209]","[-0.02651110477745533, 0.03183038905262947, -0.029663464054465294]",0.0032681161537766457,-1.790026307106018,-0.007883604615926743,-0.008227981626987457,0.5328712463378906,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:33.111220,1:30:648,-:--:---,-:--:---,0,1,90648,0,0,1882.1441650390625, ,34583,2,0,-107612.3203125,0,0,0,0,"[1570.6474609375, -10.10672664642334, -950.4976196289062]",0.0,0.0,0.0,0.0,29.78099822998047,1,3118,75.37467956542969,20.0,28.0,0.11035001277923584,"[20.439428329467773, 0.04295283555984497, -4.533252716064453]","[-0.033065345138311386, 0.010381934233009815, -0.043634429574012756]",0.00413961336016655,-1.7887507677078247,-0.010024011135101318,-0.005638429429382086,0.5324592590332031,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:33.211908,1:30:744,-:--:---,-:--:---,0,1,90744,0,0,1884.1539306640625, ,34617,2,0,-107710.59375,0,0,0,0,"[1572.6082763671875, -10.102930068969727, -950.9310302734375]",0.0,0.0,0.0,0.0,29.78099822998047,1,3011,75.25546264648438,20.0,28.0,0.0,"[20.414438247680664, 0.04514418542385101, -4.4951653480529785]","[-0.0411669947206974, 0.0368865542113781, -0.026312848553061485]",0.005991545971482992,-1.7872402667999268,-0.008300121873617172,-0.003019198076799512,0.5330123901367188,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
2024-06-19 18:56:33.312100,1:30:843,-:--:---,-:--:---,0,1,90843,0,0,1886.22216796875, ,34650,2,0,-107807.609375,0,0,0,0,"[1574.628173828125, -10.098255157470703, -951.3740844726562]",0.0,0.0,0.0,0.0,29.78099822998047,5,2913,75.1238021850586,20.0,28.0,0.0,"[20.387535095214844, 0.04459548369050026, -4.445271015167236]","[-0.05999965965747833, -0.0109206922352314, -0.03951374441385269]",0.010240096598863602,-1.785183310508728,-0.009042525663971901,0.00022470495605375618,0.5334768295288086,"[20.0, 20.0, 20.0, 20.0]",abarth500,m608 - 2024 - alt 0
