momento gravacion prueba;2024-06-19 18:25:14.661514
automovil;abarth500
Nombre circuito;m608 - 2024 - alt 3
Nombre conductor=;Santiago Higuera
Momento (s);X(m);Y(m);Z(m);Vx(m/s);Vy(m/s);Vz(m/s);V_modulo(km/h);Presion acelerador (0-1);Presion freno (0-1);Presion embrague (0-1);Marcha;RPM motor;Posicion norm pista;giro volante (-360º, 360º);X_Num_Gs_vehiculo;Y_Num_Gs_vehiculo;Z_Num_Gs_vehiculo;X_velocidad_angular_coche_CG;Y_velocidad_angular_coche_CG;Z_velocidad_angular_coche_CG;X_normal_rueda_RR;Y_normal_rueda_RR;Z_normal_rueda_RR;X_normal_rueda_RL;Y_normal_rueda_RL;Z_normal_rueda_RL;X_normal_rueda_FR;Y_normal_rueda_FR;Z_normal_rueda_FR;X_normal_rueda_FL;Y_normal_rueda_FL;Z_normal_rueda_FL;X_Punto_contacto_rueda_RR;Y_Punto_contacto_rueda_RR;Z_Punto_contacto_rueda_RR;X_Punto_contacto_rueda_RL;Y_Punto_contacto_rueda_RL;Z_Punto_contacto_rueda_RL;X_Punto_contacto_rueda_FR;Y_Punto_contacto_rueda_FR;Z_Punto_contacto_rueda_FR;X_Punto_contacto_rueda_FL;Y_Punto_contacto_rueda_FL;Z_Punto_contacto_rueda_FL;FX_Vector_ruedas_RR;FY_Vector_ruedas_RR;FX_Vector_ruedas_RL;FY_Vector_ruedas_RL;FX_Vector_ruedas_FR;FY_Vector_ruedas_FR;FX_Vector_ruedas_FR;FY_Vector_ruedas_FR
1718814315.323177;1.1274;0.6934;-1.8393;-0.0163;-0.4013;0.037;1.4538;0.0;0.0;1.0;1;78.1307;0.0;-9.471;-0.3155;0.0182;-0.069;-0.1585;0.0216;0.1776;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2228;0.1503;-0.4817;-0.5013;0.1711;-1.6816;2.1869;0.1283;-1.6656;1.4607;0.1492;-2.8671;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.522568;1.1283;0.6744;-1.8307;-0.0013;0.0019;-0.0022;0.0144;0.0;1.0;0.0;1;289.0835;0.0;0.0;0.0;0.0;0.0;0.0014;0.0015;-0.0033;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4786;-0.5002;0.1711;-1.676;2.1867;0.1283;-1.6616;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.575144;1.1282;0.6745;-1.8307;-0.0004;0.0012;-0.001;0.0096;0.0;1.0;0.0;1;328.1488;0.0;0.0;0.0;0.0;0.0;0.0007;0.0004;-0.0035;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5002;0.1711;-1.676;2.1867;0.1283;-1.6616;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.584072;1.1282;0.6745;-1.8307;-0.0025;0.0011;0.0005;0.0062;0.0;1.0;0.0;1;341.1706;0.0;0.0;0.0;0.0;0.0;0.0011;-0.001;-0.0033;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5002;0.1711;-1.6759;2.1867;0.1283;-1.6616;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.801319;1.1282;0.6747;-1.8309;-0.0003;0.0007;-0.0006;0.0033;0.0;1.0;0.0;1;523.4755;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0024;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.858856;1.1282;0.6747;-1.831;-0.0002;0.0006;-0.0006;0.0032;0.0;1.0;0.0;1;580.7713;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0023;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.866791;1.1282;0.6747;-1.831;-0.0002;0.0006;-0.0006;0.0032;0.0;1.0;0.0;1;583.3757;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0023;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.871256;1.1282;0.6747;-1.831;-0.0002;0.0006;-0.0006;0.0032;0.0;1.0;0.0;1;591.1887;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0023;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.874727;1.1282;0.6747;-1.831;-0.0002;0.0006;-0.0006;0.0032;0.0;1.0;0.0;1;593.7931;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0023;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.890103;1.1282;0.6747;-1.831;-0.0002;0.0006;-0.0006;0.0031;0.0;1.0;0.0;1;604.2105;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0023;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.902999;1.1282;0.6748;-1.831;-0.0002;0.0006;-0.0006;0.0031;0.0;1.0;0.0;1;619.8366;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0023;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.921352;1.1282;0.6748;-1.831;-0.0002;0.0006;-0.0006;0.0031;0.0;1.0;0.0;1;635.4628;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0023;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.94268;1.1282;0.6748;-1.831;-0.0002;0.0006;-0.0006;0.0031;0.0;1.0;0.0;1;651.0889;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0022;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.958551;1.1282;0.6748;-1.831;-0.0002;0.0006;-0.0006;0.0031;0.0;1.0;0.0;1;666.715;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0022;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814315.976903;1.1282;0.6748;-1.831;-0.0002;0.0006;-0.0006;0.003;0.0;1.0;0.0;1;682.3412;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0022;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814316.000215;1.1282;0.6748;-1.831;-0.0002;0.0006;-0.0006;0.003;0.0;1.0;0.0;1;697.9673;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0022;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814316.014103;1.1282;0.6748;-1.8311;-0.0002;0.0006;-0.0006;0.003;0.0;1.0;0.0;1;713.5935;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0022;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5001;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814316.031959;1.1282;0.6748;-1.8311;-0.0002;0.0006;-0.0006;0.003;0.0;1.0;0.0;1;729.2195;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0022;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2226;0.1503;-0.4785;-0.5002;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814316.052791;1.1282;0.6748;-1.8311;-0.0002;0.0006;-0.0006;0.0029;0.0;1.0;0.0;1;744.8458;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0021;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2227;0.1503;-0.4785;-0.5002;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
1718814316.068167;1.1282;0.6749;-1.8311;-0.0002;0.0006;-0.0006;0.003;0.0;1.0;0.0;1;763.0762;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0;-0.0021;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2227;0.1503;-0.4785;-0.5002;0.1711;-1.676;2.1867;0.1283;-1.6617;1.4618;0.1492;-2.8626;-1;-1;-1;-1;-1;-1;-1;-1
